included_pathology,min,max
Caries dentaria detenida,6,7
Caries limitada al esmalte (caries incipiente),60,61
Caries limitada al esmalte (caries incipiente) embarazada,0,100
Caries limitada al esmalte. (caries incipiente),6,7
Catarata traumática,0,100
catatonia esquizofrénica,0,100
Causticación grave (grado 3 y 4),0,100
Ciática por trastorno de disco intervertebral lumbar,0,100
Cifoescoliosis,0,25
Cloroma,15,100
Coartación de la aorta,0,15
Coartación de la aorta (preductal) (postductal),0,15
Cocaína,0,20
Colecistectomía preventiva del cáncer de vesícula en personas de 35 a 49 años,35,50
Colecistolitiasis no especificada o sin colecistitis,35,50
Colédocolitiasis no especificada o sin colangitis o sin colecistitis,35,50
Colelitiasis hepática no especificada o sin colangitis o sin colecistitis,35,50
Colelitiasis no especificada o sin colecistitis,35,50
Cólico (recurrente) de vesícula biliar no especificado o sin colecistitis,35,50
Cólico hepático (recurrente) no especificado o sin colangitis o sin colecistitis,35,50
Colonización por Helicobacter Pylori,0,100
Combinación de diagnósticos de Asma predominantemente alérgica y Asma no alérgica,15,100
Combinación de diagnósticos de Asma predominantemente alérgica y Asma no alérgica,0,15
Comedocarcinoma,15,100
Complicaciones Post Exodoncia: Hemorragia y Alveolitis de los maxilares,0,100
Compresión traumática del cerebro,0,100
Conducto [agujero] de Botal abierto C,0,15
Conducto arterioso permeable,0,15
"Conexión anómala de las venas pulmonares, sin otra especificación",0,15
Conexión anómala parcial de las venas pulmonares,0,15
Conexión anómala total de las venas pulmonares,0,15
Consumo Perjudicial o Dependencia de riesgo bajo a moderado de alcohol y drogas en personas menores de 20 años,0,20
Contusión grave del globo ocular y del tejido orbitario:,0,100
Coqueluche,0,5
Corazón triauricular,0,15
Corazón trilocular biauricular,0,15
Coxartrosis,55,100
Coxartrosis bilateral,55,100
Coxartrosis bilateral leve,55,100
Coxartrosis bilateral moderada,55,100
Coxartrosis derecha,55,100
Coxartrosis derecha leve,55,100
Coxartrosis derecha moderada,55,100
Coxartrosis izquierda,55,100
Coxartrosis izquierda leve,55,100
Coxartrosis izquierda moderada,55,100
Coxartrosis leve,55,100
Coxartrosis moderada,55,100
Craneofaringioma,15,100
Crisis generalizadas no refractarias,1,15
"Crisis no clasificables no refractaria (ej: provocadas por estimulo táctil, ruido)",1,15
Crisis parciales complejas no refractarias,1,15
Crisis parciales simples no refractarias,1,15
Crisis parciales simples secundariamente generalizadas no refractarias,1,15
Cualquier politraumatizado con compromiso raquimedular,0,100
Cualquier politraumatizado con lesión vascular grave,0,100
Defecto de la almohadilla endocárdica,0,15
Defecto de tabique (del corazón),0,15
Defecto del seno coronario,0,15
Defecto del seno venoso,0,15
Defecto del tabique aórtico,0,15
Defecto del tabique aortopulmonar,0,15
Defecto del tabique auricular,0,15
Defecto del tabique auricular ostium primum (tipo l),0,15
Defecto del tabique aurículoventricular,0,15
Defecto del tabique ventricular con estenosis o atresia pulmonar dextroposición de.la aorta e hipertrofia del ventrículo derecho,0,15
Defecto del tabique ventricular',0,15
Degeneración de la pulpa embarazada,0,100
Depósitos especificados sobre los dientes,60,61
Depósitos especificados sobre los dientes embarazada,0,100
"Depósitos sobre los dientes, sin especificar",6,7
Depresión en personas de 15 años y más,15,100
depresión post- esquizofrénica,0,100
Desorden linfoproliferativo crónico NK,15,100
Desórdenes linfoproliferativos asociados a inmunodeficiencia,15,100
Desórdenes linfoproliferativos asociados a inmunodeficiencia iatrogénica,15,100
Desórdenes linfoproliferativos post trasplante,15,100
Desplazamiento de disco intervertebral lumbar,0,100
Desprendimiento de la retina con ruptura,0,100
Desprendimiento de la retina con y sin desgarro,0,100
Desprendimiento de la retina sin otra especificación,0,100
Desprendimiento de retina regmatógeno no traumático,0,100
Desprendimiento de Retina traumático,0,100
Diabetes,0,100
Diabetes (mellitus) (sin obesidad) (con obesidad) de comienzo en el adulto sin mención de complicación,0,100
Diabetes (mellitus) (sin obesidad) (con obesidad) de comienzo en la madurez del adulto sin mención de complicación,0,100
Diabetes (mellitus) (sin obesidad) (con obesidad) estable sin mención de complicación,0,100
Diabetes (mellitus) (sin obesidad) (con obesidad) no cetósica sin mención de complicación,0,100
Diabetes (mellitus) (sin obesidad) (con obesidad) tipo II sin mención de complicación,0,100
Diabetes (mellitus) juvenil con cetoacidosis,0,100
Diabetes (mellitus) juvenil con coma,0,100
Diabetes (mellitus) juvenil con coma diabético con o sin cetoacidosis,0,100
Diabetes (mellitus) juvenil con coma diabético hiperosmolar,0,100
Diabetes (mellitus) juvenil con coma diabético hipoglicémico,0,100
Diabetes (mellitus) juvenil con coma hiperglicémico,0,100
Diabetes (mellitus) juvenil sin mención de complicación,0,100
Diabetes autoinmune del adulto (L.A.D.A),0,100
Diabetes con consulta y supervisión de la dieta,0,100
Diabetes estable,0,100
Diabetes gestacional,0,100
Diabetes insulinodependiente,0,100
Diabetes mellitus asociada c/desnutrición con retinopatía diabética,0,100
Diabetes mellitus con propensión a la cetosis,0,100
Diabetes mellitus insulinodependiente con acidosis diabética sin mención de coma,0,100
Diabetes mellitus insulinodependiente con cetoacidosis,0,100
Diabetes mellitus insulinodependiente con cetoacidosis diabética sin mención de coma,0,100
Diabetes mellitus insulinodependiente con coma,0,100
Diabetes mellitus insulinodependiente con coma diabético con o sin cetoacidosis,0,100
Diabetes mellitus insulinodependiente con coma diabético hiperosmolar,0,100
Diabetes mellitus insulinodependiente con coma diabético hipoglicémico,0,100
Diabetes mellitus insulinodependiente con coma hiperglicémico,0,100
Diabetes mellitus insulinodependiente con retinopatía diabética,0,100
Diabetes mellitus insulinodependiente sin mención de complicación,0,100
Diabetes mellitus no especificada con retinopatía diabética,0,100
"Diabetes mellitus no especificada, sin mención de complicación",0,100
Diabetes mellitus no insulinodependiente con retinopatía diabética,0,100
Diabetes mellitus no insulinodependiente sin cetoacidosis,0,100
Diabetes mellitus no insulinodependiente sin mención de complicación,0,100
Diabetes Mellitus Tipo 1,0,100
Diabetes Mellitus Tipo 2,0,100
Diabetes mellitus tipo I con acidosis diabética sin mención de coma,0,100
Diabetes mellitus tipo I con cetoacidosis,0,100
Diabetes mellitus tipo I con cetoacidosis diabética sin mención de coma,0,100
Diabetes mellitus tipo I con coma,0,100
Diabetes mellitus tipo I con coma diabético con o sin cetoacidosis,0,100
Diabetes mellitus tipo I con coma diabético hiperosmolar,0,100
Diabetes mellitus tipo I con coma diabético hipoglicémico,0,100
Diabetes mellitus tipo I con coma hiperglicémico,0,100
Diabetes mellitus tipo I sin mención de complicación,0,100
Diabetes no insulinodependiente juvenil sin mención de complicación,0,100
Diabetes post pancreatectomía,0,100
"Diabetes, comienzo en la edad adulta (obeso) (no obeso)",0,100
Diastematomiela,0,100
Dilatación congénita de la aorta,0,15
Disco lumbar luxado,0,100
Discordancia de la conexión aurículoventricular,0,15
Discordancia de la conexión ventrículoarterial,0,15
Disfunción del Nódulo Sinusal.,15,100
Disolventes volátiles,0,20
Disostosis mandibulofacial,0,100
Displasia broncopulmonar del prematuro,0,100
Displasia broncopulmonar originada en el periodo perinatal.,0,100
Displasia cleidocraneal,0,100
Displasia del desarrollo de la cadera,0,100
Displasia evolutiva de caderas.,0,100
Displasia luxante de caderas,0,100
"Displasia luxante de caderas leve, moderada y/ o severa",0,100
Disrafias espinales,0,100
Divertículo congénito del ventrículo izquierdo,0,15
Edema cerebral traumático,0,100
Encefalocele,0,100
Encefalocele de cualquier sitio,0,100
Encefalocele frontal,0,100
Encefalocele nasofrontal,0,100
Encefalocele occipital,0,100
Encefalomielocele,0,100
Endoftalmitis traumática,0,100
Endoprótesis total de cadera en personas de 65 años y más con artrosis de cadera con limitación funcional severa,65,100
Endotropía acomodativa y parcialmente acomodativa,0,9
Endotropía comitante adquirida,0,9
Endotropía esencial o infantil,0,9
Endotropía no clasificada,0,9
Endotropía precoz,0,9
Enfermedad congénita del corazón,0,15
Enfermedad de Di Guglielmo,15,100
Enfermedad de la membrana hialina del recién nacido,0,1
Enfermedad de Paget y carcinoma infiltrante del conducto de la mama,15,100
Enfermedad de Paget y carcinoma intraductal de la mama,15,100
"Enfermedad de Paget, mamaria",15,100
Enfermedad de Parkinson,0,100
Enfermedad de Parkinson.,0,100
Enfermedad luxante de cadera,0,100
"Enfermedad pulmonar obstructiva crónica con exacerbación aguda, no especificada",0,100
Enfermedad pulmonar obstructiva crónica con infección aguda de las vías respiratorias inferiores,0,100
Enfermedad Pulmonar Obstructiva Crónica de Tratamiento Ambulatorio,0,100
"Enfermedad pulmonar obstructiva crónica, no especificada",0,100
Enfermedad renal crónica etapa 4 y 5,0,100
Enfermedad Renal Crónica Etapa 4 y 5,0,100
Enfermedades linfoproliferativas asociadas a inmunodeficiencia primaria,15,100
Enfermedades linfoproliferativas del niño virus Epstein Barr positivo,15,100
Enfisema buloso del pulmón,0,100
Enfisema centrolobular,0,100
Enfisema panacinar,0,100
Enfisema panlobular,0,100
Enfisema vesicular del pulmón,0,100
"Enfisema, no especificado",0,100
Epiglotitis,0,5
Epilepsia criptogenética no refractaria,1,15
Epilepsia Idiopática no refractaria,1,15
Epilepsia no refractaria,15,100
Epilepsia no refractaria en personas de 15 años y más,15,100
Epilepsia no refractaria en personas desde 1 año y menores de 15 años,1,15
Epilepsia sintomática no refractaria,1,15
Episodio depresivo grave con síntomas sicóticos,15,100
Episodio depresivo grave sin síntomas sicóticos,15,100
Episodio depresivo leve,15,100
Episodio depresivo moderado,15,100
Episodio depresivo sin especificación,15,100
Eritremia aguda,15,100
Eritroleucemia,15,100
Esclerosis múltiple remitente recurrente ,0,100
Esclerosis múltiple remitente recurrente.,0,100
Escoliosis asociada a cualquier síndrome,0,25
Escoliosis asociada a displasia ósea,0,25
Escoliosis congénita,0,25
Escoliosis de la adolescencia,0,25
Escoliosis idiopática infantil,0,25
Escoliosis idiopática juvenil,0,25
Escoliosis neuromuscular,0,25
Escoliosis toracogénica,0,25
Espina bífida (abierta) (quística),0,100
Espina bífida cervical con hidrocefalia,0,100
Espina bífida cervical sin hidrocefalia,0,100
Espina bífida con hidrocefalia,0,100
Espina bífida dorsal,0,100
Espina bífida dorsal con hidrocefalia,0,100
Espina bífida lumbar con hidrocefalia,0,100
Espina bífida lumbar sin hidrocefalia,0,100
Espina bífida lumbosacra,0,100
Espina bífida lumbosacra con hidrocefalia,0,100
Espina bífida oculta,0,100
Espina bífida sacra con hidrocefalia,0,100
Espina bífida sacra sin hidrocefalia,0,100
Espina bífida torácica con hidrocefalia,0,100
Espina bífida torácica sin hidrocefalia,0,100
Espina bífida toracolumbar,0,100
Espina bífida toracolumbar con hidrocefalia,0,100
"Espina bífida, no especificada",0,100
Esquizofrenia,0,100
Esquizofrenia aguda,0,100
Esquizofrenia atípica,0,100
Esquizofrenia catatónica,0,100
Esquizofrenia crónica,0,100
Esquizofrenia desorganizada,0,100
Esquizofrenia hebefrénica,0,100
Esquizofrenia indiferenciada,0,100
Esquizofrenia latente,0,100
Esquizofrenia paranoide,0,100
Esquizofrenia pseudoneurótica,0,100
Esquizofrenia pseudopsicopática,0,100
Esquizofrenia residual,0,100
Esquizofrenia simple.,0,100
Estado asmático,15,100
Estado asmático,0,15
estado delirante no orgánico,0,100
estado esquizofrénico,0,100
estado esquizofrénico residual,0,100
estado paranoide,0,100
Estenosis aórtica,15,100
Estenosis aórtica congénita,0,15
Estenosis aórtica supravalvular,0,15
Estenosis congénita de la válvula aórtica,0,15
Estenosis congénita de la válvula pulmonar,0,15
Estenosis congénita de la válvula tricúspide,0,15
Estenosis congénita de la vena cava,0,15
Estenosis congénita de la vena cava (inferior) (superior),0,15
Estenosis de la aorta,0,15
Estenosis de la arteria pulmonar,0,15
Estenosis del canal neural por disco intervertebral,0,100
Estenosis del infundíbulo pulmonar,0,15
Estenosis mitral,15,100
Estenosis mitral congénita,0,15
Estenosis subaórtica congénita,0,15
Estenosis Tricuspídea,15,100
Estrabismo en personas menores de 9 años,0,9
"Estrabismos paralíticos, restrictivos o sensoriales",0,9
Estrabismos residuales o evolutivos en pacientes ya tratados de estrabismo,0,9
Estrabismos verticales,0,9
Exotropía intermitente,0,9
Exotropía no clasificada,0,9
Exotropía permanente,0,9
Exotropía precoz,0,9
Fibrilación y/o aleteo auricular con conducción A-V acelerada refractaria,15,100
Fibroadenoma de la próstata,0,100
Fibroma de la próstata,0,100
Fibrosis Quística,0,100
Fibrosis Quística,0,100
Filum Corto,0,100
Fisura congénita de labio,0,100
Fisura del paladar,0,100
Fisura del paladar blando,0,100
Fisura del paladar blando con labio leporino,0,100
"Fisura del paladar blando con labio leporino, bilateral",0,100
"Fisura del paladar blando con labio leporino, unilateral",0,100
Fisura del paladar con labio leporino,0,100
"Fisura del paladar con labio leporino bilateral, sin otra especificación",0,100
"Fisura del paladar con labio leporino unilateral, sin otra especificación",0,100
Fisura del paladar duro,0,100
Fisura del paladar duro con labio leporino,0,100
"Fisura del paladar duro con labio leporino, bilateral",0,100
"Fisura del paladar duro con labio leporino, unilateral",0,100
Fisura del paladar duro y del paladar blando,0,100
Fisura del paladar duro y del paladar blando con labio leporino,0,100
"Fisura del paladar duro y del paladar blando con labio leporino, bilateral",0,100
"Fisura del paladar duro y del paladar blando con labio leporino, unilateral",0,100
"Fisura del paladar, sin otra especificación",0,100
Fisura labiopalatina,0,100
Flegmones oro-faríngeos de origen odontogénico,0,100
Folie a deux con síntomas de esquizofrenia,0,100
Formación anormal de tejido duro en la pulpa embarazada,0,100
Fractura cerrada de huesos del cráneo y de la cara,0,100
"Fractura cerrada de la base del cráneo, con traumatismo intracraneal",0,100
"Fractura cerrada de la bóveda del cráneo, con traumatismo intracraneal",0,100
"Fractura de huesos del cráneo y de la cara, con TEC",0,100
Fractura de la base del cráneo con traumatismo intracraneal,0,100
Fractura de la bóveda del cráneo con traumatismo intracraneal,0,100
Fractura de la fosa anterior,0,100
Fractura de la fosa media,0,100
Fractura de la fosa posterior,0,100
Fractura del esfenoides,0,100
Fractura del hueso frontal con traumatismo intracraneal,0,100
Fractura del hueso parietal con traumatismo intracraneal,0,100
"Fractura del hueso temporal, con traumatismo intracraneal",0,100
"Fractura del occipucio, con traumatismo intracraneal",0,100
Fractura del seno etmoidal,0,100
"Fractura del seno frontal, con traumatismo intracraneal",0,100
"Fractura del techo orbitario, con traumatismo intracraneal",0,100
Fractura expuesta de huesos del cráneo y de la cara,0,100
"Fractura expuesta de la base del cráneo, con traumatismo intracraneal",0,100
"Fractura expuesta de la bóveda del cráneo, con traumatismo intracraneal",0,100
Fractura orbitaria con hipo o enoftalmo,0,100
"Fracturas múltiples del cráneo (y de la cara), con traumatismo intracraneal",0,100
Gingivitis aguda,60,61
Gingivitis aguda embarazada,0,100
Gingivitis crónica,60,61
Gingivitis crónica embarazada,0,100
Gingivitis hiperplásica,6,7
Gingivitis marginal simple,6,7
Gingivitis úlcero necrótica,0,100
Gonartrosis,55,100
Gonartrosis bilateral,55,100
Gonartrosis bilateral leve,55,100
Gonartrosis bilateral moderada,55,100
Gonartrosis derecha,55,100
Gonartrosis derecha leve,55,100
Gonartrosis derecha moderada,55,100
Gonartrosis izquierda,55,100
Gonartrosis izquierda leve,55,100
Gonartrosis izquierda moderada,55,100
Gonartrosis leve,55,100
Gonartrosis moderada,55,100
Gran Quemado,0,100
Granulomatosis linfomatoide,15,100
"Gripe con manifestaciones respiratorias, virus no identificado",0,5
Hebefrenia,0,100
Hemangioblastoma encefálico,15,100
Hemofilia,0,100
Hemofilia A,0,100
Hemofilia B,0,100
Hemorragia cerebelosa traumática,0,100
Hemorragia de múltiples arterias intracraneales por ruptura de aneurismas,0,100
Hemorragia epidural traumática,0,100
"Hemorragia epidural traumática, con herida intracraneal",0,100
"Hemorragia epidural traumática, sin herida intracraneal",0,100
Hemorragia extradural (traumática),0,100
Hemorragia intracerebral focal traumática,0,100
Hemorragia por ruptura de aneurisma del polígono de Willis,0,100
"Hemorragia subaracnoidea de arteria basilar, por ruptura de aneurisma",0,100
"Hemorragia subaracnoidea de arteria cerebral media, por ruptura de aneurisma",0,100
"Hemorragia subaracnoidea de arteria cerebral, por ruptura de aneurisma",0,100
"Hemorragia subaracnoidea de arteria comunicante anterior, por ruptura de aneurisma",0,100
"Hemorragia subaracnoidea de arteria comunicante posterior, por ruptura de aneurisma",0,100
"Hemorragia subaracnoidea de arteria comunicante, por ruptura de aneurisma",0,100
Hemorragia subaracnoidea de arteria intracraneal por ruptura de aneurisma,0,100
Hemorragia subaracnoidea por ruptura de aneurisma,0,100
Hemorragia subaracnoidea por ruptura de aneurisma cerebral,0,100
Hemorragia Subaracnoidea secundaria a Ruptura de Aneurismas Cerebrales,0,100
Hemorragia subaracnoídea traumática,0,100
"Hemorragia subaracnoídea traumática, con herida intracraneal",0,100
"Hemorragia subaracnoídea traumática, sin herida intracraneal",0,100
Hemorragia subdural traumática,0,100
"Hemorragia subdural traumática, con herida intracraneal",0,100
"Hemorragia subdural traumática, sin herida intracraneal",0,100
Hendidura labial congénita,0,100
Hepatitis Crónica por Virus Hepatitis B,0,100
Hepatitis crónica por Virus Hepatitis B,0,100
Herida palpebral con compromiso Vía lagrimal y/o borde libre,0,100
Herida penetrante de globo ocular sin cuerpo extraño,0,100
Herida penetrante del globo ocular con cuerpo extraño,0,100
Herida perforante ocular,0,100
Hernia diafragmática congénita,0,1
Hernia discal lumbar,0,100
Hernia Núcleo Pulposo lumbar,0,100
Hidroencefalocele,0,100
Hidromeningocele (raquídeo),0,100
Hidromeningocele craneano,0,100
Hifema traumático,0,100
Hipermetropía,65,100
Hiperplasia de la próstata,0,100
Hipersensibilidad del Seno Carotídeo,15,100
Hipertensión Arterial Primaria o Esencial,15,100
Hipertensión arterial primaria o esencial en personas de 15 años y más,15,100
Hipertensión pulmonar persistente,0,1
Hipertrofia (benigna) de la próstata,0,100
Hipertrofia adenofibromatosa de la próstata,0,100
Hipoacusia neurosensorial bilateral del prematuro,0,100
Hipoacusia neurosensorial moderada,0,4
Hipoacusia neurosensorial profunda,0,4
Hipoacusia neurosensorial severa,0,4
"Hipoacusia neurosensorial, bilateral del prematuro.",0,100
Hipoplasia de la aorta,0,15
Hipoplasia de la arteria pulmonar,0,15
Hipoplasia del esmalte,6,7
Hipotiroidismo,15,100
Hipotiroidismo en personas de 15 años y más,15,100
Íleo Meconial (en recién nacidos).,0,100
Infarto (agudo) del miocardio con elevación del segmento ST,0,100
Infarto (agudo) del miocardio no Q,0,100
Infarto (agudo) del miocardio Q,0,100
Infarto (agudo) del miocardio sin supradesnivel ST,0,100
Infarto agudo del miocardio,0,100
Infarto agudo del miocardio de la pared inferior,0,100
Infarto agudo del miocardio sin otra especificación,0,100
Infarto agudo del ventrículo derecho,0,100
Infarto agudo transmural del miocardio de otros sitios,0,100
Infarto cerebral debido a embolia de arterias cerebrales,15,100
Infarto cerebral debido a embolia de arterias precerebrales,15,100
Infarto cerebral debido a oclusión o estenosis no especificada de arterias cerebrales,15,100
Infarto cerebral debido a oclusión o estenosis no especificada de arterias precerebrales,15,100
Infarto cerebral debido a trombosis de arterias cerebrales,15,100
Infarto cerebral debido a trombosis de arterias precerebrales,15,100
"Infarto cerebral debido a trombosis de venas cerebrales, no piógeno",15,100
"Infarto cerebral, no especificado",15,100
Infarto con infradesnivel ST,0,100
Infarto con supradesnivel ST,0,100
Infarto del miocardio no transmural sin otra especificación,0,100
Infarto recurrente del miocardio,0,100
Infarto subendocárdico agudo del miocardio,0,100
Infarto transmural (agudo) alto lateral,0,100
Infarto transmural (agudo) anteroapical,0,100
Infarto transmural (agudo) anterolateral,0,100
Infarto transmural (agudo) anteroseptal,0,100
Infarto transmural (agudo) apicolateral,0,100
Infarto transmural (agudo) de (pared) anterior sin otra especificación,0,100
Infarto transmural (agudo) de (pared) lateral sin otra especificación,0,100
Infarto transmural (agudo) de pared diafragmática,0,100
Infarto transmural (agudo) inferolateral,0,100
Infarto transmural (agudo) ínferoposterior,0,100
